count,month,year
12479,12,2022
10651,11,2022
10598,10,2022
11148,9,2022
11879,8,2022
11430,7,2022
10446,6,2022
10709,5,2022
9427,4,2022
11779,3,2022
8639,2,2022
10809,1,2022
10893,12,2021
10347,11,2021
9293,10,2021
9714,9,2021
10966,8,2021
11985,7,2021
10732,6,2021
10619,5,2021
11719,4,2021
11985,3,2021
8319,2,2021
10148,1,2021
11058,12,2020
11133,11,2020
10679,10,2020
11796,9,2020
11503,8,2020
11446,7,2020
10977,6,2020
10593,5,2020
11278,4,2020
9959,3,2020
6699,2,2020
10659,1,2020
11680,12,2019
11959,11,2019
11539,10,2019
12083,9,2019
12831,8,2019
12920,7,2019
11668,6,2019
12074,5,2019
12233,4,2019
12356,3,2019
8937,2,2019
11346,1,2019
10628,12,2018
11254,11,2018
10333,10,2018
10932,9,2018
11835,8,2018
11768,7,2018
10768,6,2018
12009,5,2018
11416,4,2018
12378,3,2018
8169,2,2018
11012,1,2018
10266,12,2017
10688,11,2017
9780,10,2017
10900,9,2017
11652,8,2017
11160,7,2017
11294,6,2017
11077,5,2017
10393,4,2017
11367,3,2017
9865,2,2017
8926,1,2017
